"compound_name","inchikey","target_id","target_symbol","hallmark","relation","grade","provenance","document_ids","notes"
"Rapamycin","QFJCIRLUMZQUOT-HPLJOQBZSA-N","CHEMBL2842","MTOR","nutrient_sensing","inhibits","E4","ITP replicated lifespan","PMID:19587680;PMID:24978089","Replicated mammalian lifespan extension in male and female mice across multiple testing centers (NIA ITP)"
"Rapamycin","QFJCIRLUMZQUOT-HPLJOQBZSA-N","CHEMBL2842","MTOR","autophagy","activates","E3","In vivo autophagic flux","PMID:20542383","Drives neuronal and hepatic macroautophagy flux in aged murine models"
"Rapamycin","QFJCIRLUMZQUOT-HPLJOQBZSA-N","CHEMBL2842","MTOR","cellular_senescence","inhibits","E3","SASP suppression in mice","PMID:26140592","Suppresses SASP secretion and senescent paracrine signaling via 4E-BP1/MAPKAPK2"
"Rapamycin","QFJCIRLUMZQUOT-HPLJOQBZSA-N","CHEMBL2842","MTOR","proteostasis","enhances","E2","In vitro chaperone/UPR assays","PMID:24095454","Reduces proteotoxic stress and aggregation in cellular models of proteinopathy"
"Rapamycin","QFJCIRLUMZQUOT-HPLJOQBZSA-N","CHEMBL2842","MTOR","stem_cell_exhaustion","rescues","E3","Hematopoietic stem cells","PMID:19864835","Restores self-renewal capacity and function of aged hematopoietic stem cells"
"Dasatinib","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","CHEMBL2814","SRC","cellular_senescence","inhibits","E3","D+Q mouse clearance","PMID:28826136","Combined with Quercetin clears p16Ink4a+ senescent cells and extends median post-treatment lifespan"
"Dasatinib","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","CHEMBL2814","SRC","chronic_inflammation","inhibits","E3","Murine SASP suppression","PMID:30953051","Reduces systemic SASP circulating cytokines (IL-6, TNF-alpha) in aged mice"
"Dasatinib","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","CHEMBL2814","SRC","cellular_senescence","inhibits","E2","In vitro senolysis selectivity","PMID:25754376","Selectively induces apoptosis in senescent human preadipocytes, but lacks efficacy in senescent HUVECs alone"
"Dasatinib","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","CHEMBL219","EPHA2","intercellular_communication","inhibits","E1","ChEMBL binding assay","CHEMBL768913","Ephrin receptor tyrosine kinase binding with sub-nanomolar affinity"
"Quercetin","REFJWTPEDVJJIY-UHFFFAOYSA-N","CHEMBL2842","PIK3CA","cellular_senescence","inhibits","E3","D+Q mouse clearance","PMID:28826136","Synergizes with Dasatinib to clear senescent cells and reduce frailty in aged mice"
"Quercetin","REFJWTPEDVJJIY-UHFFFAOYSA-N","CHEMBL2842","PIK3CA","chronic_inflammation","inhibits","E2","In vitro NF-kB assay","PMID:27038166","Inhibits NF-kB p65 nuclear translocation and SASP cytokine expression in cell culture"
"Quercetin","REFJWTPEDVJJIY-UHFFFAOYSA-N","CHEMBL4203","SIRT1","nutrient_sensing","activates","E1","Single paper in vitro","PMID:16443825","Modest in vitro activation of SIRT1 deacetylase activity at micromolar concentrations"
"Quercetin","REFJWTPEDVJJIY-UHFFFAOYSA-N","CHEMBL2842","PIK3CA","mitochondrial_dysfunction","mitigates","E1","ChEMBL assay","CHEMBL1768407","In vitro protection against hydrogen peroxide-induced mitochondrial ROS"
"Fisetin","XHEFDIBZLJXQHF-UHFFFAOYSA-N","CHEMBL2842","PIK3CA","cellular_senescence","inhibits","E3","Murine lifespan hit","PMID:30279143","Reduces senescent cell burden and extends median lifespan in late-life treated wild-type mice"
"Fisetin","XHEFDIBZLJXQHF-UHFFFAOYSA-N","CHEMBL2842","PIK3CA","chronic_inflammation","inhibits","E3","Aged mouse SASP","PMID:30279143","Lowers tissue SASP expression and circulating pro-inflammatory markers in aged mice"
"Fisetin","XHEFDIBZLJXQHF-UHFFFAOYSA-N","CHEMBL4203","SIRT1","nutrient_sensing","activates","E2","Multiple in vitro assays","PMID:15310797","Direct allosteric activation of SIRT1 in multiple fluorescence-based deacetylation assays"
"Fisetin","XHEFDIBZLJXQHF-UHFFFAOYSA-N","CHEMBL2842","PIK3CA","autophagy","induces","E1","In vitro LC3 lipidation","PMID:29704257","Induces autophagosome formation and LC3-II accumulation in cultured cortical neurons"
"Metformin","XZWYZXLIPXDOLR-UHFFFAOYSA-N","CHEMBL376","PRKAA1","nutrient_sensing","activates","E4","Human epidemiological & clinical","PMID:25041462;PMID:28802803","Consistent reduction in all-cause mortality in diabetic human cohorts; basis of the TAME clinical trial"
"Metformin","XZWYZXLIPXDOLR-UHFFFAOYSA-N","CHEMBL376","PRKAA1","mitochondrial_dysfunction","inhibits","E3","Mitochondrial complex I in vivo","PMID:10839993","Mild, specific inhibition of mitochondrial respiratory chain complex I in murine hepatocytes"
"Metformin","XZWYZXLIPXDOLR-UHFFFAOYSA-N","CHEMBL376","PRKAA1","autophagy","activates","E3","In vivo hepatic flux","PMID:21303889","Restores autophagic flux in aged rodent liver through AMPK-dependent ULK1 phosphorylation"
"Metformin","XZWYZXLIPXDOLR-UHFFFAOYSA-N","CHEMBL376","PRKAA1","chronic_inflammation","inhibits","E3","In vivo cytokine reduction","PMID:23708518","Suppresses NF-kB and circulating inflammatory biomarkers in aged murine models"
"Metformin","XZWYZXLIPXDOLR-UHFFFAOYSA-N","CHEMBL376","PRKAA1","epigenetic_alteration","modulates","E1","DNA methylation clock study","PMID:32130836","Alters epigenetic clock acceleration in human PBMCs (correlative biomarker only)"
"Spermidine","ATHGHMNZQISWCS-UHFFFAOYSA-N","CHEMBL1201509","EP300","autophagy","activates","E3","Murine lifespan & cardiac rescue","PMID:27841876","Extends lifespan in mice and improves cardiac function through macroautophagy induction"
"Spermidine","ATHGHMNZQISWCS-UHFFFAOYSA-N","CHEMBL1201509","EP300","proteostasis","enhances","E3","T-cell translation in mice","PMID:33005886","Enhances hypusination of eIF5A and translation of autophagy-related proteins in aged mice"
"Spermidine","ATHGHMNZQISWCS-UHFFFAOYSA-N","CHEMBL1201509","EP300","intercellular_communication","modulates","E2","In vitro immune synapse","PMID:30472097","Reverses age-related B-cell defects in primary cell cultures"
"Spermidine","ATHGHMNZQISWCS-UHFFFAOYSA-N","CHEMBL1201509","EP300","nutrient_sensing","inhibits","E2","EP300 acetyltransferase assay","PMID:25439502","Direct inhibition of EP300 acetyltransferase activity inducing autophagic flux"
"17alpha-estradiol","VOXZDWNPVJITMN-ZSQVYSATSA-N","CHEMBL246","ESR1","nutrient_sensing","modulates","E4","ITP male lifespan","PMID:24978089;PMID:33682977","Replicated median and maximum lifespan extension specifically in male mice (NIA ITP)"
"17alpha-estradiol","VOXZDWNPVJITMN-ZSQVYSATSA-N","CHEMBL246","ESR1","chronic_inflammation","inhibits","E3","In vivo neuroinflammation","PMID:30139981","Suppresses hypothalamic and adipose tissue inflammaging and microglial activation in male mice"
"17alpha-estradiol","VOXZDWNPVJITMN-ZSQVYSATSA-N","CHEMBL246","ESR1","mitochondrial_dysfunction","mitigates","E2","Brain bioenergetics assay","PMID:26760636","Improves brain mitochondrial respiration and reduces oxidative stress in aged rodent brain"
"Navitoclax","LMEKQDMYQIAPOC-WHAZZDAYSA-N","CHEMBL444141","BCL2","cellular_senescence","inhibits","E2","Senolytic selectivity in vitro","PMID:26711582","Induces apoptosis in senescent IMR90 and HUVEC cells with >5x selectivity over proliferating cells"
"Navitoclax","LMEKQDMYQIAPOC-WHAZZDAYSA-N","CHEMBL2047","BCL2L1","cellular_senescence","inhibits","E2","Target engagement BCL-xL","PMID:18698246","High-affinity nanomolar inhibition of BCL-xL and BCL-2 displacing BH3 pro-apoptotic peptides"
