compound_name,inchikey,molecule_chembl_id,activity_id,assay_chembl_id,assay_type,assay_description,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,document_chembl_id
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,64601,CHEMBL678159,B,Compound was tested in vitro for its ability to compete with immobilized FK506 for binding to biotinylated FK506 binding protein 12 in a competitive binding assay,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,IC50,=,0.6,nM,9.22,CHEMBL1131933
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,64602,CHEMBL699874,F,Compound was tested in vitro for its ability to inhibit the proliferation of the IL-6-dependent hybridoma clone B13-29-15,CHEMBL612545,Unchecked,IC50,=,1.0,nM,9.00,CHEMBL1131933
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,64603,CHEMBL708367,F,Compound was tested in vitro for inhibitory activity in the mixed lymphocyte reaction (MLR) assay,CHEMBL612545,Unchecked,IC50,=,1.0,nM,9.00,CHEMBL1131933
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,402676,CHEMBL635244,A,Half life was determined,CHEMBL612558,ADMET,T1/2,=,13.0,hr,,CHEMBL1132513
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,402677,CHEMBL677253,B,Ability to bind to FK506 binding protein via its inhibition of peptidyl prolyl cis-trans isomerase activity (PPIase) inherent to FKBP,CHEMBL612545,Unchecked,IC50,=,15.0,nM,7.82,CHEMBL1132513
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,402678,CHEMBL740139,F,In vitro ability to inhibit lymphoproliferation (LAF) in vitro using cells from the thymus of normal BALB/c mice,CHEMBL375,Mus musculus,IC50,=,3.0,nM,8.52,CHEMBL1132513
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,402679,CHEMBL848335,F,The activity in the LAF assay is best expressed as a ratio of the rapamycin IC50 (1-9 nM) /analogue IC50 (R/A),CHEMBL612545,Unchecked,Ratio,=,3.0,,,CHEMBL1132513
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,402680,CHEMBL740706,F,Ability to prevent transplantation rejection in vivo in mouse skin graft model,CHEMBL375,Mus musculus,Skin Graft Survival,=,12.0,,,CHEMBL1132513
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,447616,CHEMBL810607,F,Tested for inhibition of T cell proliferation in the co-mitogen stimulated proliferation assay,CHEMBL614309,T-cell,IC50,=,9.8,nM,8.01,CHEMBL1128753
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,447617,CHEMBL721295,F,Mean Survival time of the graft was evaluated in murine skin allograft transplantation assay upon intraperitoneal administration of 4 mg/kg dose,CHEMBL375,Mus musculus,MST,=,12.01,day,,CHEMBL1128753
