raw_name,resolved_name,cid,inchikey,canonical_smiles,modality,resolved,notes,mol_wt,log_p,tpsa,num_h_donors,num_h_acceptors,num_rotatable_bonds,ring_count,fraction_csp3,qed
Rapamycin,Sirolimus,5284616.0,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,small_molecule,True,mTOR inhibitor; validated mammalian lifespan hit (ITP),914.187,6.181,195.43,3.0,13.0,6.0,4.0,0.745,0.1555
Dasatinib,Dasatinib,3062316.0,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,small_molecule,True,Tyrosine kinase inhibitor; D+Q senolytic cocktail,488.017,3.314,106.51,3.0,9.0,7.0,4.0,0.364,0.4657
Quercetin,Quercetin,5280343.0,REFJWTPEDVJJIY-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,small_molecule,True,Flavonoid; D+Q senolytic cocktail,302.238,1.988,131.36,5.0,7.0,1.0,3.0,0.0,0.4342
Fisetin,Fisetin,5281614.0,XHEFDIBZLJXQHF-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,small_molecule,True,Flavonoid senolytic with murine healthspan data,286.239,2.282,111.13,4.0,6.0,1.0,3.0,0.0,0.5106
Metformin,Metformin,4091.0,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)N=C(N)N,small_molecule,True,Biguanide; complex I inhibitor and AMPK activator,129.167,-1.244,91.49,3.0,1.0,0.0,0.0,0.5,0.2819
Spermidine,Spermidine,1102.0,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,small_molecule,True,Natural polyamine; macroautophagy inducer,145.25,-0.336,64.07,3.0,3.0,7.0,0.0,1.0,0.4295
17alpha-estradiol,alpha-Estradiol,68570.0,VOXZDWNPVJITMN-SFFUCWETSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,small_molecule,True,Non-feminizing estrogen; male mouse lifespan hit (ITP),272.388,3.609,40.46,2.0,2.0,0.0,4.0,0.667,0.7572
Navitoclax,Abt 263,24978538.0,JLYAXFNOILIKPP-KXQOOQHDSA-N,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,small_molecule,True,ABT-263; BCL-2 and BCL-xL inhibitor senolytic,974.634,8.833,128.36,2.0,11.0,16.0,7.0,0.426,0.1046
Resveratrol,Resveratrol,445154.0,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,small_molecule,True,Polyphenolic stilbenoid; SIRT1 activator,228.247,2.974,60.69,3.0,3.0,2.0,2.0,0.0,0.6923
Nicotinamide mononucleotide,Nicotinamide Mononucleotide,14180.0,DAYLJWODMCOQEW-TURQNECASA-N,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1,small_molecule,True,NMN; NAD+ salvage pathway intermediate,334.221,-2.83,166.25,4.0,7.0,5.0,2.0,0.455,0.3301
