target_chembl_id,pref_name,target_type,organism,uniprot_accession
CHEMBL613589,Plasma,TISSUE,Mus musculus,
CHEMBL613508,DU-145,CELL-LINE,Homo sapiens,
CHEMBL614818,HEK293,CELL-LINE,Homo sapiens,
CHEMBL1867,Alpha-2A adrenergic receptor,SINGLE PROTEIN,Homo sapiens,P08913
CHEMBL2366149,NCI-H1417,CELL-LINE,Homo sapiens,
CHEMBL2366276,NCI-H187,CELL-LINE,Homo sapiens,
CHEMBL234,D(3) dopamine receptor,SINGLE PROTEIN,Homo sapiens,P35462
CHEMBL2094134,Tubulin,PROTEIN FAMILY,Bos taurus,Q6B856
CHEMBL4102,Prostaglandin G/H synthase 2,SINGLE PROTEIN,Ovis aries,P79208
CHEMBL353,Staphylococcus epidermidis,ORGANISM,Staphylococcus epidermidis,
CHEMBL614941,SV3T3,CELL-LINE,Mus musculus,
CHEMBL614361,T47D,CELL-LINE,Homo sapiens,
CHEMBL2275,Sorbitol dehydrogenase,SINGLE PROTEIN,Homo sapiens,Q00796
CHEMBL2424,Lactoylglutathione lyase,SINGLE PROTEIN,Homo sapiens,Q04760
CHEMBL3871,Aldo-keto reductase family 1 member A1,SINGLE PROTEIN,Rattus norvegicus,P51635
CHEMBL2590,Aminopeptidase N,SINGLE PROTEIN,Sus scrofa,P15145
CHEMBL4513,3-oxoacyl-acyl-carrier protein reductase,SINGLE PROTEIN,Plasmodium falciparum,Q965D6
CHEMBL238,Sodium-dependent dopamine transporter,SINGLE PROTEIN,Homo sapiens,Q01959
CHEMBL5365,DNA polymerase kappa,SINGLE PROTEIN,Homo sapiens,Q9UBT6
CHEMBL2093861,Menin/Histone-lysine N-methyltransferase MLL,PROTEIN-PROTEIN INTERACTION,Homo sapiens,O00255
CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,PROTEIN COMPLEX GROUP,Homo sapiens,P06493
CHEMBL2094114,Estrogen receptor,PROTEIN FAMILY,Rattus norvegicus,P06211
CHEMBL242,Estrogen receptor beta,SINGLE PROTEIN,Homo sapiens,Q92731
CHEMBL386,L1210,CELL-LINE,Mus musculus,
CHEMBL1907600,Cyclin-dependent kinase 5/CDK5 activator 1,PROTEIN COMPLEX,Homo sapiens,Q00535
CHEMBL233,Mu-type opioid receptor,SINGLE PROTEIN,Homo sapiens,P35372
CHEMBL241,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",SINGLE PROTEIN,Homo sapiens,Q14432
